tract,gsmn_math_g3_2013,,Census Tract,,
18120,3.5109453,,181.2,18120,TRUE
18121,3.5109453,,181.21,18121,TRUE
18122,3.5109453,,181.22,18122,TRUE
18123,3.5109453,,181.23,18123,TRUE
18124,3.5109453,,181.24,18124,TRUE
18126,3.5109453,,181.26,18126,TRUE
18127,3.5109453,,181.27,18127,TRUE
18128,3.5109453,,181.28,18128,TRUE
18129,3.1041505,,181.29,18129,TRUE
18130,3.1041505,,181.3,18130,TRUE
18132,3.5109453,,181.32,18132,TRUE
18133,3.5109453,,181.33,18133,TRUE
18134,3.5109453,,181.34,18134,TRUE
18135,3.5109453,,181.35,18135,TRUE
18136,3.5109453,,181.36,18136,TRUE
18137,3.5109453,,181.37,18137,TRUE
18138,3.5109453,,181.38,18138,TRUE
18139,3.5109453,,181.39,18139,TRUE
18140,3.5109453,,181.4,18140,TRUE
18141,3.5109453,,181.41,18141,TRUE
18142,3.4794297,,181.42,18142,TRUE
18203,3.5109453,,182.03,18203,TRUE
18204,3.5109453,,182.04,18204,TRUE
18205,3.5109453,,182.05,18205,TRUE
18206,3.5109453,,182.06,18206,TRUE
18300,3.5109453,,183,18300,TRUE
18401,3.0629818,,184.01,18401,TRUE
18402,3.5109453,,184.02,18402,TRUE
18403,3.0629818,,184.03,18403,TRUE
18501,3.0629818,,185.01,18501,TRUE
18503,3.7934477,,185.03,18503,TRUE
18505,3.7934477,,185.05,18505,TRUE
18506,3.2620082,,185.06,18506,TRUE
18600,3.5109453,,186,18600,TRUE
18700,3.5109453,,187,18700,TRUE
18801,3.5109453,,188.01,18801,TRUE
18802,3.5109453,,188.02,18802,TRUE
18900,3.5109453,,189,18900,TRUE
19004,3.7934477,,190.04,19004,TRUE
19013,3.5109453,,190.13,19013,TRUE
19014,3.5109453,,190.14,19014,TRUE
19016,3.7934477,,190.16,19016,TRUE
19018,3.7934477,,190.18,19018,TRUE
19019,3.7934477,,190.19,19019,TRUE
19020,3.5109453,,190.2,19020,TRUE
19021,3.5109453,,190.21,19021,TRUE
19023,3.7934477,,190.23,19023,TRUE
19024,3.7934477,,190.24,19024,TRUE
19025,3.5109453,,190.25,19025,TRUE
19026,3.5109453,,190.26,19026,TRUE
19027,3.5109453,,190.27,19027,TRUE
19028,3.5109453,,190.28,19028,TRUE
19029,3.5109453,,190.29,19029,TRUE
19031,3.6182127,,190.31,19031,TRUE
19032,3.5109453,,190.32,19032,TRUE
19033,3.5109453,,190.33,19033,TRUE
19034,3.7934477,,190.34,19034,TRUE
19035,3.7934477,,190.35,19035,TRUE
19036,3.7934477,,190.36,19036,TRUE
19037,3.7934477,,190.37,19037,TRUE
19038,3.7934477,,190.38,19038,TRUE
19039,3.7934477,,190.39,19039,TRUE
19040,3.7934477,,190.4,19040,TRUE
